City,Date,Avg_AQI
Amaravati,2017-11-25T00:00:00.000+0000,184
Amaravati,2017-11-26T00:00:00.000+0000,197
Amaravati,2017-11-27T00:00:00.000+0000,198
Amaravati,2017-11-28T00:00:00.000+0000,188
Amaravati,2017-11-29T00:00:00.000+0000,173
Amaravati,2017-11-30T00:00:00.000+0000,165
Amaravati,2017-12-01T00:00:00.000+0000,191
Amaravati,2017-12-02T00:00:00.000+0000,191
Amaravati,2017-12-03T00:00:00.000+0000,227
Amaravati,2017-12-04T00:00:00.000+0000,168
Amaravati,2017-12-05T00:00:00.000+0000,198
Amaravati,2017-12-06T00:00:00.000+0000,201
Amaravati,2017-12-07T00:00:00.000+0000,252
Amaravati,2017-12-08T00:00:00.000+0000,310
Amaravati,2017-12-09T00:00:00.000+0000,196
Amaravati,2017-12-10T00:00:00.000+0000,132
Amaravati,2017-12-11T00:00:00.000+0000,147
Amaravati,2017-12-12T00:00:00.000+0000,179
Amaravati,2017-12-13T00:00:00.000+0000,145
Amaravati,2017-12-14T00:00:00.000+0000,115
Amaravati,2017-12-15T00:00:00.000+0000,140
Amaravati,2017-12-16T00:00:00.000+0000,156
Amaravati,2017-12-17T00:00:00.000+0000,225
Amaravati,2017-12-18T00:00:00.000+0000,251
Amaravati,2017-12-19T00:00:00.000+0000,228
Amaravati,2017-12-20T00:00:00.000+0000,223
Amaravati,2017-12-21T00:00:00.000+0000,170
Amaravati,2017-12-22T00:00:00.000+0000,165
Amaravati,2017-12-23T00:00:00.000+0000,159
Amaravati,2017-12-24T00:00:00.000+0000,232
Amaravati,2017-12-25T00:00:00.000+0000,242
Amaravati,2017-12-26T00:00:00.000+0000,274
Amaravati,2017-12-27T00:00:00.000+0000,259
Amaravati,2017-12-28T00:00:00.000+0000,225
Amaravati,2017-12-29T00:00:00.000+0000,177
Amaravati,2017-12-30T00:00:00.000+0000,120
Amaravati,2017-12-31T00:00:00.000+0000,120
Amaravati,2018-01-01T00:00:00.000+0000,120
Amaravati,2018-01-02T00:00:00.000+0000,132
Amaravati,2018-01-03T00:00:00.000+0000,136
Amaravati,2018-01-04T00:00:00.000+0000,182
Amaravati,2018-01-05T00:00:00.000+0000,222
Amaravati,2018-01-06T00:00:00.000+0000,230
Amaravati,2018-01-07T00:00:00.000+0000,224
Amaravati,2018-01-08T00:00:00.000+0000,217
Amaravati,2018-01-09T00:00:00.000+0000,230
Amaravati,2018-01-10T00:00:00.000+0000,229
Amaravati,2018-01-11T00:00:00.000+0000,229
Amaravati,2018-01-12T00:00:00.000+0000,235
Amaravati,2018-01-13T00:00:00.000+0000,214
Amaravati,2018-01-14T00:00:00.000+0000,186
Amaravati,2018-01-15T00:00:00.000+0000,172
Amaravati,2018-01-16T00:00:00.000+0000,138
Amaravati,2018-01-17T00:00:00.000+0000,125
Amaravati,2018-01-18T00:00:00.000+0000,132
Amaravati,2018-01-19T00:00:00.000+0000,111
Amaravati,2018-01-20T00:00:00.000+0000,137
Amaravati,2018-01-21T00:00:00.000+0000,172
Amaravati,2018-01-22T00:00:00.000+0000,160
Amaravati,2018-01-23T00:00:00.000+0000,163
Amaravati,2018-01-24T00:00:00.000+0000,165
Amaravati,2018-01-25T00:00:00.000+0000,139
Amaravati,2018-01-26T00:00:00.000+0000,176
Amaravati,2018-01-27T00:00:00.000+0000,162
Amaravati,2018-01-28T00:00:00.000+0000,160
Amaravati,2018-01-29T00:00:00.000+0000,142
Amaravati,2018-01-30T00:00:00.000+0000,172
Amaravati,2018-01-31T00:00:00.000+0000,134
Amaravati,2018-02-01T00:00:00.000+0000,136
Amaravati,2018-02-02T00:00:00.000+0000,130
Amaravati,2018-02-03T00:00:00.000+0000,111
Amaravati,2018-02-04T00:00:00.000+0000,117
Amaravati,2018-02-05T00:00:00.000+0000,102
Amaravati,2018-02-06T00:00:00.000+0000,108
Amaravati,2018-02-07T00:00:00.000+0000,99
Amaravati,2018-02-08T00:00:00.000+0000,121
Amaravati,2018-02-09T00:00:00.000+0000,86
Amaravati,2018-02-10T00:00:00.000+0000,57
Amaravati,2018-02-11T00:00:00.000+0000,107
Amaravati,2018-02-12T00:00:00.000+0000,118
Amaravati,2018-02-13T00:00:00.000+0000,110
Amaravati,2018-02-14T00:00:00.000+0000,114
Amaravati,2018-02-15T00:00:00.000+0000,111
Amaravati,2018-02-16T00:00:00.000+0000,117
Amaravati,2018-02-17T00:00:00.000+0000,107
