PM2_5,PM10,NO,NO2,NH3,CO,SO2,O3
60.5,98,2.35,30.8,8.5,0.1,11.85,126.4
65.5,111.25,2.7,24.2,9.77,0.1,13.17,117.12
80,132,2.1,25.18,12.02,0.1,12.08,98.98
81.5,133.25,1.95,16.25,11.58,0.1,10.47,112.2
75.25,116,1.43,17.48,12.03,0.1,9.12,106.35
69.25,108.25,0.7,18.47,13.8,0.1,9.25,91.1
67.5,111.5,1.05,12.15,17.65,0.1,9.4,112.7
68,111,1.25,14.12,20.28,0.1,8.9,116.12
73,102,0.3,14.3,11.5,0.3,11.8,121.5
81,123,0.8,24.85,10.28,0.1,11.62,83.8
82.5,122.75,1.25,21.82,10.18,0.1,12.7,87.25
77.5,112.5,0.5,23.5,8.9,0.1,11.58,76.45
77,112.5,1.3,23.58,8.75,0.1,11.1,101.93
80.75,122,1.08,19.2,9.3,0.1,12.58,107.77
83,137,2.12,26.03,7.73,0.1,12.75,93.57
104,148.5,1.93,23,9.8,0.1,15.3,117.62
94.5,142,1.33,16.25,9.65,0.1,17,136.23
82.75,126.5,1.47,14.83,9.7,0.1,15.4,149.92
68.5,117,1.35,13.6,7.4,0.1,21.8,161.7
69.25,112.25,1.52,11.8,9.25,0.1,21.38,161.68
70,107,2.8,30.33,6.15,0.1,18.9,147.97
72.75,120.25,1.5,26.72,10.78,0.1,16.03,137.2
81.5,134.75,1.1,18.78,14.73,0.1,12.93,146.03
85,142.5,1.62,26.2,14.5,0.2,12.9,123
91.5,145.75,0.98,18.88,14.12,0.2,15.22,146.52
92.5,131.25,0.55,21.35,12.23,0.1,17.45,149.45
89.25,123.5,0.65,11.55,10.85,0.1,22.15,158.75
87.5,121,0.9,29.1,10.28,0.1,20.5,114.67
97,135.75,1.13,19.8,11.83,0.1,21.57,141.6
91.5,131.75,0.4,18.07,11.32,0.1,15.83,138.65
85.5,125.25,0.55,17.85,13.1,0.1,14.08,140.63
88.25,131.25,0.18,17.8,12.75,0.13,14.02,120.55
85,122.25,0.25,15.13,10.35,0.1,14.23,110.27
91,129,0.13,16.58,9.85,0.1,15.9,132.78
98.25,137.75,0.38,31.75,9,0.1,12.12,89.2
103,144.75,1.37,40.5,9.67,0.1,10.42,36.75
97.75,143,2,38.48,10.73,0.1,16.12,92.12
96.25,143.25,1.4,19.15,11.85,0.1,27.35,150.92
64.75,126,1.22,20.28,10.55,0.1,45.65,161.2
21,122.5,1.35,14.78,10.4,0.1,31.1,176.4
70.25,110.25,1.57,28.1,6.2,0.1,107.92,149.47
64,105,1.5,20.38,7.65,0.1,98.58,142.1
60.5,103.75,1.75,23.83,8.9,0.1,62.57,145.05
57,96.5,1.35,17.02,9.92,0.1,43.23,148
53.25,87.25,1.4,13.93,9.47,0.1,13.22,155.3
59.5,92.5,1.32,16.1,9.45,0.1,11.45,143.05
61,104.25,1.15,25.38,12.08,0.1,11.47,125.92
72.5,134.75,0.75,31.43,11.35,0.13,13.1,97.98
80,159.5,3.97,41.65,11.25,0.18,12.47,70.07
84,160,0.73,48.07,11.2,0.5,12.1,56.85
95.75,172.75,1.35,34.12,9.83,0.53,10.23,48.52
102.75,178.5,2.93,53.72,8,0.1,12.42,45.08
124.75,207,1.78,51.25,9.7,0.08,12,54.87
115.25,169.5,1.05,26.75,12.33,0.1,7.8,72.55
96.5,136,0.58,22.75,11.3,0.1,8.33,75.95
93.75,132,0.65,18.08,12.98,0.18,7.53,77.92
98.25,136.75,0.33,21.37,19.05,0.13,5.78,75.95
96.75,133.75,0.35,21.68,13.05,0.2,7,109.78
99,136,0.77,19.9,12.58,0.1,7.48,121.53
99.75,136,2.05,34.68,14.53,0.1,6.8,34.78
98,142,7.05,35.6,14.47,0.1,6,21.55
95,150.5,2.93,26.23,15.75,0.1,8.92,118.08
84.25,136.25,1.7,18.37,14.75,0.1,12.05,160.73
77,120.25,1.45,18.4,14.33,0.1,21.65,174.45
63.5,109,79.87,76.3,2.37,0.1,114.75,158.27
65,118.5,1.4,26.05,17.35,0.13,88.42,178.88
65.25,111,2.07,32.22,12.58,0.1,104.4,165.62
66,111,4.4,39.7,10.1,0.1,118.5,156.8
59,97.5,1.8,21.2,14,0.1,23.7,179.35
59.25,97.5,2.2,20.33,16.45,0.08,26.4,181.3
59.5,94.25,1.8,20.2,11.23,0.1,28.6,189.15
58.25,91,2.43,23.45,10.55,0.1,30.7,194.02
58.5,97,2.22,24.1,11.17,0.1,29.25,182.78
58.75,102,1.8,35.4,8.78,0.1,17.17,108.27
64,117,2.2,29.37,8.6,0.1,12,98.98
66,115,9.5,63.95,7.98,0.1,11.05,61.23
71.5,124.25,1.37,19.7,11.35,0.08,9.88,117.1
77.5,105.5,1.25,22.45,10.33,0.1,10.55,111.23
73.75,104,1.55,28.57,15.2,0,9.7,96.55
75.25,113.5,0.98,19.43,16.45,0.33,9.1,94.07
75.25,115,1.15,18.18,20.55,0.2,7.65,94.05
85,124,0.68,20.53,15.17,0.28,8.65,87.22
99,151.75,0.75,17.85,11.55,0.1,10.02,71.05
110.5,150.25,0.25,14.75,10.88,0.1,9.1,81.35
102.5,140.5,0.48,14.47,11.9,0.1,9.67,106.3
105.5,140.5,0.35,15.37,13.88,0.1,10.08,101.45
103.5,137,2.37,35.1,17.78,0.1,10.7,80.38
95,142.75,3.4,33.67,14.95,0.2,14.47,88.2
96.75,144.75,3.47,28.15,17.95,0.5,14.15,105.85
80.25,122,3.25,22.62,10.25,0.3,14.6,117.13
61,101.25,1.97,13.97,10.03,0.1,10.9,128.88
31.75,63.25,2.15,12.7,8.63,0.1,11.88,137.7
37,67.25,1.57,14.35,7.9,0.1,11.85,153.85
48.75,81.5,2.65,20.15,11.67,0.1,10.75,164.62
59.25,100.5,1.35,26.2,12.8,0.25,11.55,165.12
69.5,125.5,3.08,36.67,10.87,0.25,12.75,141.12
75.25,146.25,1.42,31.68,9.8,0.1,11.17,111.7
57.5,120.25,2.02,19.97,8.57,0.1,7.57,96.05
47,83.25,1.45,11.48,7.98,0.1,7.6,104.88
49.25,84,1.15,14.05,8.55,0.1,8.88,95.52
65,111.25,4.55,45.3,15.97,0.1,8.72,52.93
72.75,132.75,0.38,22.4,16.12,0.3,8.58,79.38
70.5,118.5,1.47,21.55,12.33,0.45,10.35,81.33
86,139.5,0.85,19.85,12.18,0.1,13.5,87.72
94.25,141.5,0.45,19.3,11.2,0.08,13.4,77.42
84,122.25,0.78,17.5,10.88,0.1,14.25,78.9
76,111.25,0.1,14.98,10.35,0.1,12.9,103.88
70.25,103.5,1.43,18.03,10.2,0.1,12.82,98
74,110.25,2.98,36.93,9.73,0.1,13.6,82.8
79.5,124,2.22,26.42,11.05,0.1,15.87,100.45
68,115.75,1.88,20.97,11.35,0.1,18.4,113.67
63.75,107.5,1.9,14.03,11.83,0.1,19.25,136.25
59.75,102.5,1.65,17.07,10.62,0.1,17.27,142.58
60.75,104.25,81.25,60.75,2.98,0.1,17.5,148.97
58.75,97.75,1.12,14.55,11.28,0.1,16.45,154.35
61.25,101,1.27,13.53,11.77,0.1,16.1,161.22
53.75,95.75,1.12,14.28,10.32,0.1,15.62,156.3
60.5,106,1.03,16.72,11.15,0.1,14.75,163.15
78,136.5,2.07,26.88,10.77,0.1,15.4,159.25
85.75,152,1.52,16.25,11.55,0.1,12.65,127.38
70,129.75,1.37,16.7,10.9,0.1,10.98,107.3
61,99,1.37,10.8,11.37,0.1,11.03,117.12
60,98.75,1.27,10.35,11.98,0.1,11.08,112.67
67,104.25,0.5,17.88,11.4,0.1,11.92,94.07
70,114,1.22,21.4,13.12,0.1,12.05,76.45
83,122.5,0.72,13.93,16.7,0.1,9.88,102.9
77.25,110.25,0.2,10.77,14.52,0.13,9.9,111.72
89,116,0.62,13.7,16.03,0.13,10.15,90.68
93.25,121,0.03,14.12,12.17,0.1,14.25,84.75
84.75,113.5,0.25,12.2,10.38,0.1,15.6,103.88
73.75,101,0.83,17.9,9.15,0.1,16.22,91.12
71.75,108.75,3.12,28.7,9.17,0.1,14.47,75.48
77.25,122.75,2.83,28.52,10.42,0.1,15.95,80.83
75.5,119,2.4,19.12,10.38,0.1,19.25,106.32
66,108,1.62,13.52,10.32,0.1,20.2,140.6
60.25,103.75,0.83,13.87,10.75,0.1,15.22,148.95
58.25,98.25,79.98,63.35,2.37,0.1,15.98,152.37
54.5,92.75,1.2,12.7,11.25,0.1,15.8,153.85
60.5,96.5,1.08,16.25,11.1,0.1,17.15,167.1
68.75,115.5,1.4,17.6,12,0.08,18.72,185.7
82.25,134.75,0.97,19.52,15.33,0.08,14.78,191.6
95,149.75,1.87,29.95,11.7,0.13,15.33,162.67
100.25,152.5,1.38,13.73,8.83,0.1,10.75,132.78
60.25,95.5,0.88,9.85,8.23,0.1,8.92,136.7
56.5,84.5,1.2,12.1,8.27,0.1,9.1,131.32
68,103,1.45,18.02,10.48,0.1,9.5,106.35
88.25,135.25,1.75,30.03,11.35,0.1,10.45,87.2
92,135.5,0.5,19.83,11.58,0.1,11.65,103.38
95.75,136.25,0.5,17.15,12.67,0.1,12.1,105.85
91.5,133.25,0.1,18.75,12.45,0.1,11.58,99.48
106,139.25,0.1,14.1,12.6,0.1,15.15,86.23
85.5,121.25,0.2,13.62,11.35,0.1,17.08,113.17
80,114,0.97,14.27,11.4,0.1,18.12,109.28
82.5,121.75,2.97,35.22,10.15,0.1,15.58,86.73
82.25,133.5,2.5,24.32,10.98,0.1,15.48,103.9
75.75,129.5,1.45,14.97,10.85,0.1,18.2,141.6
70.5,115,1.7,15.92,10.4,0.1,18.45,150.92
66,121,1.7,18.1,9.9,0.1,17.15,155.8
62.25,118.5,2.27,17.78,7.65,0.1,125.3,147.97
49.75,91.5,1.53,15.48,13.85,0.03,11.12,149.92
51,90.75,1.6,15.65,13,0.1,9.03,157.27
58,102.75,1.23,14.7,11.4,0.1,11.88,159.78
67.25,115.5,0.77,16.5,11.53,0.1,15.75,179.35
105.5,170.5,1.85,30.95,14.35,0.1,18.38,178.88
129.5,202.5,1.67,44.75,14.4,0.1,19.88,153.38
144.75,230,1.5,39.77,19.7,0.08,19.5,134.25
144.75,223.25,0.98,33.88,25.42,0.08,11.15,119.55
128.5,186.75,1,34.58,17.12,0.3,12.95,110.75
125.5,186.25,1.05,25.5,16.05,0.1,12.4,115.12
121,169,1.18,21.25,14.75,0.1,12.62,118.57
117.75,158,0.25,17.47,14.68,0.1,11,123.48
108,152,0.25,23.78,13.85,0.1,11.17,120.55
107.5,154.5,0.35,32.58,13.95,0.1,9.02,61.75
116.75,171.5,0.28,35.02,16.6,0.1,8.67,64.67
120.5,162,0.75,23.65,24.35,0.15,7.45,99.95
124.75,167.25,1.15,27.15,25.6,0.35,8.62,108.8
144.25,197.5,2.47,42.03,20.38,0.4,13.93,94.55
118.75,182,3.57,50.3,21.68,0.3,18.3,95.55
104.75,169.5,0.9,23.48,14.12,0.28,25.82,132.3
106.5,167.25,1.1,19.8,12.65,0.1,27.82,136.7
88.5,130.25,0.98,14.35,11.28,0.1,17.65,138.68
63.5,102,1.23,15,9.15,0.1,11.43,135.72
