Year,Month,DayOfWeek,Avg_AQI
2015,1,1,350.3125
2015,1,2,338.6145833333333
2015,1,3,335.46875
2015,1,4,334.752688172043
2015,1,5,355.45098039215685
2015,1,6,356.825
2015,1,7,317.72477064220186
2015,2,1,337.7604166666667
2015,2,2,313.5625
2015,2,3,333.46875
2015,2,4,337.9166666666667
2015,2,5,319.63829787234044
2015,2,6,318.8958333333333
2015,2,7,334.1979166666667
2015,3,1,232.39166666666668
2015,3,2,228.5
2015,3,3,258.725
2015,3,4,251.5
2015,3,5,296.90625
2015,3,6,286.2395833333333
2015,3,7,248.97916666666666
2015,4,1,316.53125
2015,4,2,309.875
2015,4,3,279.7604166666667
2015,4,4,312.8125
2015,4,5,292.1166666666667
2015,4,6,291.1458333333333
2015,4,7,337.1979166666667
2015,5,6,259.57142857142856
2015,9,1,206.42727272727274
2015,9,2,203.58333333333334
2015,9,3,198.46
2015,9,4,193.97619047619048
2015,9,5,211.53543307086613
2015,9,6,245.29166666666666
2015,9,7,202.08256880733944
2015,10,1,245.0934065934066
2015,10,2,245.58854166666666
2015,10,3,274.2447916666667
2015,10,4,269.5187165775401
2015,10,5,266.2282608695652
2015,10,6,293.1375661375661
2015,10,7,280.1111111111111
2015,11,1,281.0886075949367
2015,11,2,263.97021276595746
2015,11,3,268.1550802139037
2015,11,4,280.6058823529412
2015,11,5,280.95628415300547
2015,11,6,265.79057591623035
2015,11,7,295.8404255319149
2015,12,1,134.66666666666666
2015,12,2,125.44186046511628
2015,12,3,133.27642276422765
2015,12,4,123.83333333333333
2015,12,5,189.260162601626
2015,12,6,117.10975609756098
2015,12,7,128.2872340425532
2016,1,1,164.8695652173913
2016,1,2,167.2
2016,1,3,196.05555555555554
2016,1,4,196.84722222222223
2016,1,5,186.125
2016,1,6,217.44660194174756
2016,1,7,176.1875
2016,2,1,120.66216216216216
2016,2,2,168.32142857142858
2016,2,3,176.7377049180328
2016,2,4,122.32692307692308
2016,2,5,113.68656716417911
2016,2,6,131.54545454545453
2016,2,7,119.25333333333333
2016,3,1,122.6875
2016,3,2,119.6413043478261
2016,3,3,109.69827586206897
2016,3,4,116.4424778761062
2016,3,5,121.3936170212766
2016,3,6,128.20833333333334
2016,3,7,126.97647058823529
2016,4,1,114.36170212765957
2016,4,2,123.96363636363637
2016,4,3,106.71604938271605
2016,4,4,113.71951219512195
2016,4,5,119.26881720430107
2016,4,6,102.12612612612612
2016,4,7,100.93406593406593
2016,5,1,101.22857142857143
2016,5,2,109.13253012048193
2016,5,3,95.06666666666666
2016,5,4,96.26315789473684
2016,5,5,110.05494505494505
2016,5,6,90.8021978021978
2016,5,7,100.61176470588235
2016,7,1,90.05882352941177
2016,7,2,84.32142857142857
2016,7,3,122.60344827586206
2016,7,4,115.63333333333334
2016,7,5,84.34782608695652
2016,7,6,101.14285714285714
2016,7,7,93.64197530864197
2016,8,1,90.94791666666667
2016,8,2,89.71428571428571
2016,8,3,85.48181818181818
2016,8,4,92.01550387596899
2016,8,5,88.58888888888889
2016,8,6,92.91549295774648
2016,8,7,91.57303370786516
2016,9,1,93.66666666666667
2016,9,2,116.34042553191489
2016,9,3,82.17692307692307
2016,9,4,79.48333333333333
2016,9,5,81.34975369458128
2016,9,6,86.20382165605096
2016,9,7,80.21985815602837
2016,10,1,96.09433962264151
2016,10,2,98.58490566037736
2016,10,3,104.10071942446044
2016,10,4,101.90298507462687
2016,10,5,100.87272727272727
2016,10,6,104.20710059171597
2016,10,7,95.77227722772277
2016,11,1,119.65625
2016,11,2,122.53125
2016,11,3,120.67521367521367
2016,11,4,120.41228070175438
2016,11,5,119.05759162303664
2016,11,6,117.1413612565445
2016,11,7,121.72631578947369
2016,12,1,107.2
2016,12,2,111.52941176470588
2016,12,3,114.2189349112426
2016,12,4,115.50819672131148
2016,12,5,117.49090909090908
2016,12,6,119.42245989304813
2016,12,7,116.56650246305419
2017,1,1,139.3490566037736
2017,1,2,133.47738693467338
2017,1,3,125.76168224299066
2017,1,4,139.11688311688312
2017,1,5,158.92696629213484
2017,1,6,164.06951871657753
2017,1,7,156.54597701149424
2017,2,1,156.9591836734694
2017,2,2,165.40869565217392
2017,2,3,154.179012345679
2017,2,4,165.3954802259887
2017,2,5,171.06043956043956
2017,2,6,168.88953488372093
2017,2,7,175.2469135802469
2017,3,1,115.17880794701986
2017,3,2,131.43478260869566
2017,3,3,139.58024691358025
2017,3,4,127.42986425339366
2017,3,5,128.5414847161572
2017,3,6,128.54017857142858
2017,3,7,131.3310810810811
2017,4,1,131.8732394366197
2017,4,2,153.12222222222223
2017,4,3,153.24324324324326
2017,4,4,139.0581395348837
2017,4,5,131.38823529411764
2017,4,6,147.0392156862745
2017,4,7,139.76158940397352
2017,5,1,109.20967741935483
2017,5,2,98.46153846153847
2017,5,3,110.48421052631579
2017,5,4,123.41592920353982
2017,5,5,124.58695652173913
2017,5,6,122.98913043478261
2017,5,7,106.54761904761905
2017,6,1,73.87209302325581
2017,6,2,75.61333333333333
2017,6,3,72.7764705882353
2017,6,4,70.55421686746988
2017,6,5,69.58771929824562
2017,6,6,75.99130434782609
2017,6,7,82.29213483146067
2017,7,1,68.03
